device_name,flow,n_packets,stdev_n_bytes,min_n_bytes,max_n_bytes,sum_n_bytes,median_n_bytes,mean_timestamp,stdev_timestamp,sum_timestamp,median_timestamp,min_timestamp,max_timestamp,mean_iat,stdev_iat,min_iat,max_iat,sum_iat,median_iat,start_timestamp,end_timestamp,flow_duration
Gateway,1.1.1.12.2.2.2,20,0.0,133.0,133.0,2660.0,133.0,1629402559.7564187,22.033547341580988,32588051195.128372,1629402559.7461371,1629402536.704365,1629402582.826645,2.427488414864791,9.084595518815556,0.20595717430114746,41.97137808799744,48.54976829729582,0.23630642890930176,1629402536.704365,1629402582.826645,46.12227988243103
Gateway,1.1.1.12.2.2.2,10,0.0,133.0,133.0,1330.0,133.0,1629402574.9648094,0.6280968360573093,16294025749.648094,1629402574.9716868,1629402574.004385,1629402575.954648,0.21669589148627386,0.019246614429441058,0.18958210945129395,0.24674677848815918,2.1669589148627386,0.21238987975650364,1629402574.004385,1629402575.954648,1.9502630233764648
Gateway,1.1.1.12.2.2.2,10,0.0,133.0,133.0,1330.0,133.0,1629402553.916163,0.6566171270475218,16294025539.161629,1629402553.8981955,1629402552.884407,1629402554.960229,0.23064687516954213,0.016614655065486424,0.19592905044555664,0.24689888954162598,2.306468751695421,0.2341679334640503,1629402552.884407,1629402554.960229,2.075821876525879
Gateway,1.1.1.12.2.2.2,10,0.0,133.0,133.0,1330.0,133.0,1629402595.0527408,0.6695257077388103,16294025950.527409,1629402595.0281565,1629402594.024167,1629402596.096219,0.2302280002170139,0.015939762691439117,0.2039811611175537,0.25707197189331055,2.302280002170139,0.22898092534806994,1629402594.024167,1629402596.096219,2.072052001953125
Gateway,1.1.1.12.2.2.2,30,0.0,133.0,133.0,3990.0,133.0,1629402542.2666326,14.892625166048356,48882076267.99898,1629402532.9806166,1629402529.492599,1629402564.329741,1.2012807582986766,5.01955306411862,0.1839299201965332,28.21607995033264,36.0384227489603,0.23641705513000488,1629402529.492599,1629402564.329741,34.83714199066162
Gateway,1.1.1.12.2.2.2,40,0.0,133.0,133.0,5320.0,133.0,1629402563.6995766,22.238829580051856,65176102547.98306,1629402564.407597,1629402534.320122,1629402591.592849,1.4685314618624175,4.806155194664364,0.1800379753112793,28.01442003250122,58.741258474496696,0.23620247840881348,1629402534.320122,1629402591.592849,57.27272701263428
Gateway,1.1.1.12.2.2.2,30,0.0,133.0,133.0,3990.0,133.0,1629402556.3064647,10.084911514267317,48882076689.19394,1629402560.9195404,1629402541.340702,1629402566.65424,0.872880615037063,2.937444127149455,0.19252896308898926,16.525856018066406,26.18641845111189,0.23793554306030273,1629402541.340702,1629402566.65424,25.31353783607483
Gateway,1.1.1.12.2.2.2,10,0.0,133.0,133.0,1330.0,133.0,1629402544.6032214,0.6552065001397007,16294025446.032213,1629402544.609335,1629402543.584469,1629402545.637621,0.22812798288133412,0.013737677693426747,0.2065269947052002,0.24500203132629395,2.281279828813341,0.23258401287926567,1629402543.584469,1629402545.637621,2.053151845932007
Gateway,1.1.1.12.2.2.2,20,0.0,133.0,133.0,2660.0,133.0,1629402563.1380827,23.114450933566925,32588051262.761654,1629402563.198906,1629402538.992746,1629402587.180311,2.5361876236765006,9.570981760411076,0.19593596458435059,44.197253942489624,50.72375247353001,0.2181185483932495,1629402538.992746,1629402587.180311,48.187564849853516
Gateway,1.1.1.12.2.2.2,20,0.0,133.0,133.0,2660.0,133.0,1629402555.1560204,3.584546650947515,32588051103.120407,1629402555.141808,1629402550.600208,1629402559.674778,0.4776089442403693,1.0313693286644523,0.17999505996704102,4.9661760330200195,9.552178884807386,0.2321779727935791,1629402550.600208,1629402559.674778,9.074569940567017
Gateway,1.1.1.12.2.2.2,20,0.0,133.0,133.0,2660.0,133.0,1629402569.211769,1.374092873329916,32588051384.235382,1629402569.24751,1629402566.932992,1629402571.408468,0.2355513698176334,0.019309662993345605,0.19263195991516113,0.27419495582580566,4.711027396352668,0.2365034818649292,1629402566.932992,1629402571.408468,4.475476026535034
